"","named_location","location","State","latitude","longitude","Year","planting_doy","harvest_doy","min_flow_50_doy","max_flow_50_doy","mu","sd","fp","fst","N","h","badfit","ofs","outside_data","mu_025","mu_975","mu_16","mu_84","AIC_gau","AIC_lm","mod_for_cens","beta1_lm","y2","y3","opt_relation_to_data","cens","y_na","county_state"
"19","Brookings","Brookings","SD",44.3693,-96.7878,"1986",171,328,234,246,235.400837423713,8.21166869995179,21.0473537563136,224.877160545556,19016.7278555307,923.877600724803,FALSE,60.6934187149569,"in_range",202.432195957102,238.680689051572,231.000553801998,237.5699217395,472.5467,472.9288,"gauss",-0.0559,231.000553801998,237.5699217395,"opt_within","interval",235.400837423713,"Brookings_SD"
"20","Brookings","Brookings","SD",44.3693,-96.7878,"1988",147,297.821656050955,204,212,193.007962799068,26.8996957586082,68.9466944242356,158.53461558695,111216.498474928,1649.42250343675,FALSE,207.084760219377,"less_than",168.500214382035,208.230418716864,199.635661123571,207.2044982336,463.4464,461.4593,"gauss",-0.0207,187,207.2044982336,"opt_before","interval",193.007962799068,"Brookings_SD"
"21","Brookings","Brookings","SD",44.3693,-96.7878,"1993",146,298,216,230,228.473217009167,11.9082241896708,30.5220067062573,213.212213656038,36645.3305584323,1227.67018038892,FALSE,89.8285807244331,"in_range",224.268409719429,282.04213821289,225.495037291029,234.565625258075,457.4996,458.1966,"gauss",0.0346,225.495037291029,234.565625258075,"opt_within","interval",228.473217009167,"Brookings_SD"
"22","Brookings","Brookings","SD",44.3693,-96.7878,"1994",139,286,205,213,207.080044789194,34.2078996243361,87.6783746351209,163.240857471634,174157.053200982,2031.06921836748,FALSE,267.020083135206,"in_range",193.588407248261,219.413698241435,206.873216888232,210.850612195893,420.7712,418.7772,"gauss",-0.0021,206.873216888232,210.850612195893,"opt_within","interval",207.080044789194,"Brookings_SD"
"23","Brookings","Brookings","SD",44.3693,-96.7878,"1997",140,281,208,219,216.524924588596,18.049850939624,46.2636294590437,193.393109859074,112049.195251512,2476.53909277738,FALSE,142.715936437768,"in_range",212.845955259914,254.734923054113,214.0190903052,220.816604263161,641.6866,640.3193,"gauss",0.0113,214.0190903052,220.816604263161,"opt_within","interval",216.524924588596,"Brookings_SD"
"24","Brookings","Brookings","SD",44.3693,-96.7878,"1998",143.2,297.821656050955,210,219,215.6851430426,8.38508029290876,21.4918255531888,204.939230266005,46576.6560652413,2216.00709057668,FALSE,65.8256563863393,"in_range",214.661156435426,220.28564023704,215.088363473895,216.753420947097,752.9169,754.8482,"gauss",0.0187,215.088363473895,216.753420947097,"opt_within","interval",215.6851430426,"Brookings_SD"
"25","Carrington_REC","Carrington","ND",47.5156,-99.1215,"1978",136,254,202,212,208.013668146442,NA,NA,NA,NA,1055.09618433512,TRUE,0,"in_range",NA,NA,NA,NA,322.7525,321.3188,"exclude",-0.0067,NA,NA,"unclear","interval",NA,"Foster_ND"
"26","Carrington_REC","Carrington","ND",47.5156,-99.1215,"1982",145,287,210,224,228.199490314794,36.3350161984987,93.1303937865489,181.634293421519,178885.42629587,1964.08223701316,FALSE,282.998797350442,"greater_than",212.213686773087,286.117220585889,216.588377551034,227.602241182513,870.2661,868.3378,"gauss",0.0089,216.588377551034,252,"opt_after","interval",228.199490314794,"Foster_ND"
"27","Carrington_REC","Carrington","ND",47.5156,-99.1215,"1991",148,270,208,219,210.024350206904,NA,NA,NA,NA,1976.05261412732,TRUE,0,"in_range",NA,NA,NA,NA,1015.4081,1013.5629,"exclude",0.0052,NA,NA,"unclear","interval",NA,"Foster_ND"
"28","Carrington_REC","Carrington","ND",47.5156,-99.1215,"1993",146,294,223,234,227.943340147131,11.4232133736845,29.2788739651909,213.303903164536,55761.7722574006,1947.41425690601,FALSE,88.9207920575879,"in_range",222.209865248128,229.798007479735,226.788268800247,228.734273930546,1331.246,1334.7926,"gauss",-0.005,226.788268800247,228.734273930546,"opt_within","interval",227.943340147131,"Foster_ND"
